ElementsType, Elements, ExactFunction, Order, PhysicalNames, MeshEntities, EntitiesPhysicalTags, MeshNodes, MeshElements, Coefficients, CoefficientList, L2NormU, L2NormGradU, H1NormU
Tri, 8, unity, 2, 5, 9, 5, 9, 16, 33, (1; 1; 6.19021e-16; 1; 4.17016e-16; 1; 7.34329e-16; 1; 9.15527e-16; 1; 8.78707e-16; 1; 6.48499e-16; 1; 4.19617e-16; 6.29425e-16; 5.21638e-16; -1.9189e-16; 1; 4.21219e-16; 4.82711e-16; -1.96617e-16; 5.83803e-16; -2.96213e-16; 5.74902e-16; -3.01691e-16; 6.88172e-16; -2.30669e-16; 5.26225e-16; -2.26157e-16; 7.21259e-16; -2.23888e-16; -2.74129e-16), 1.72836e-16, 1.99644e-15, 2.0039e-15
Quad, 1, x, 2, 5, 9, 5, 4, 5, 9, (3.33069e-13; 1; 3.14713e-16; 1; -8.33644e-13; 3.33112e-13; -1.69873e-16; 8.33626e-13; -4.15041e-17), 5.32868e-13, 2.1547e-12, 2.21961e-12
Quad, 4, x, 2, 5, 9, 5, 9, 12, 25, (4.70597e-13; 0.5; -2.94166e-13; 1; 2.93993e-13; 1; -4.41411e-13; 1; -4.41617e-13; 0.5; 2.93549e-13; 4.70679e-13; -2.94365e-13; 8.23572e-13; 4.411e-13; 4.41122e-13; 0.5; 3.89717e-14; -2.16819e-16; -5.79558e-14; -3.91699e-14; 5.85824e-14; -1.61484e-16; -5.802e-14; 5.84298e-14), 4.74361e-13, 2.49447e-12, 2.53917e-12
Tri, 2, x, 2, 5, 9, 5, 4, 6, 11, (3.33298e-13; 1; -2.57492e-16; 1; -8.3345e-13; 3.33257e-13; 1.46925e-16; 8.33373e-13; 1.65193e-16; -1.85556e-13; 1.85264e-13), 4.58447e-13, 2.25263e-12, 2.29881e-12
Tri, 8, x, 2, 5, 9, 5, 9, 16, 33, (4.70461e-13; 0.5; -2.93762e-13; 1; 2.94725e-13; 1; -4.40807e-13; 1; -4.40941e-13; 0.5; 2.9417e-13; 4.70589e-13; -2.94204e-13; 8.23527e-13; 4.4117e-13; 4.41259e-13; -4.00511e-14; -3.28473e-14; 0.5; 1.34901e-14; 3.18694e-14; -1.00804e-14; -1.20086e-13; -7.26179e-14; -1.32628e-14; 1.00957e-13; 1.20695e-13; -1.01221e-13; -3.14563e-14; 7.22835e-14; 4.07878e-14; 9.78218e-15; 3.24569e-14), 4.55661e-13, 2.53007e-12, 2.57077e-12
Quad, 1, y, 2, 5, 9, 5, 4, 5, 9, (3.32903e-13; 3.33192e-13; 8.33645e-13; 1; -1.06313e-16; 1; -8.32958e-13; 8.2016e-16; -4.4886e-16), 5.32859e-13, 2.15446e-12, 2.21937e-12
Quad, 4, y, 2, 5, 9, 5, 9, 12, 25, (4.70643e-13; 8.23526e-13; 4.41149e-13; 4.70585e-13; 4.41185e-13; 0.5; -2.94149e-13; 1; 2.93962e-13; 1; -4.41357e-13; 1; -4.41433e-13; 0.5; 2.93496e-13; -2.94411e-13; 0.5; -1.09683e-16; -3.91165e-14; 5.84347e-14; -4.64423e-17; 5.82978e-14; 3.90805e-14; -5.80398e-14; -5.81569e-14), 4.744e-13, 2.49448e-12, 2.53919e-12
Tri, 2, y, 2, 5, 9, 5, 4, 6, 11, (3.33467e-13; 3.33376e-13; 8.33187e-13; 1; -6.37878e-16; 1; -8.34446e-13; -6.67572e-16; -8.32667e-16; 1.85909e-13; -1.84674e-13), 4.58456e-13, 2.25292e-12, 2.2991e-12
Tri, 8, y, 2, 5, 9, 5, 9, 16, 33, (4.7049e-13; 8.23498e-13; 4.41255e-13; 4.7048e-13; 4.41261e-13; 0.5; -2.93889e-13; 1; 2.94571e-13; 1; -4.40903e-13; 1; -4.41118e-13; 0.5; 2.94204e-13; -2.93994e-13; 4.01302e-14; 3.28544e-14; 0.5; -3.19086e-14; -1.32424e-14; 1.01938e-14; -1.20162e-13; 1.01085e-13; 3.18394e-14; -7.2389e-14; 1.20441e-13; 7.2594e-14; 1.36635e-14; -1.00933e-13; -3.99657e-14; -9.94149e-15; -3.2594e-14), 4.55687e-13, 2.52991e-12, 2.57062e-12
Quad, 1, xy, 2, 5, 9, 5, 4, 5, 9, (-1.66726e-13; 4.99895e-13; 4.16765e-13; 1; -4.16803e-13; 4.99756e-13; -4.16708e-13; 4.16861e-13; -6.11067e-17), 4.11971e-13, 1.72845e-12, 1.77687e-12
